상품명,가격
소프트블렌드체크 더블롱코트 (여자친구 소원 착용),"263,000원"
소공빅칼라 원프릴셔링ops02월 20일부터 순차 배송가능!!,"63,000원"
프릴칼라 무드하이디OPS02월 18일부터 순차 배송가능!!,"75,000원"
따뜻박시비주얼 모찌기모ops,"49,000원"
로즈핀 롱앤틱 브로치,"9,000원"
하트쉐입 로즈송이 브로치,"9,000원"
진주크로스참 옷핀브로치,"7,000원"
비너스프린지 레이스가디건BL,"62,000원 → 57,100원"
완생핏 포멀라이크 핀턱PT,"41,000원 → 37,800원"
슬립레이스 사선꽃 플레어ops,"66,000원 → 60,800원"
무드채색 꽃칼라 시폰블랑,"60,000원 → 55,200원"
코지원포켓 줄니트배색CD,"56,000원 → 51,600원"
루즈보트넥 여리시스루T,"20,000원 → 18,400원"
해피디버전 슬릿데님진,"31,000원 → 28,600원"
캉캉티어드 드레스업 벌룬블랑,"46,000원 → 42,400원"
빈티지버튼업 페미닌풍 위빙JK,"80,000원 → 73,600원"
깔끄미진청슬림 데일리앵클팬츠,"29,000원 → 26,700원"
라이트코튼플레어 버튼업밴딩SK,"32,000원 → 29,500원"
유니크나염 타이다이 포켓롱T,"47,000원 → 43,300원"
웰믹스 담백터치 쇼트가디건,"44,000원 → 40,500원"
방방플레어 레이시 노슬리브OPS,"48,000원 → 44,200원"
포인투라인 우아걸 미니SK,"26,000원 → 24,000원"
라이트루즈박시 여리실루엣CD,"34,000원 → 31,300원"
캐주얼트위드 촘촘배색짜임NB,"61,000원 → 56,200원"
노멀워싱 걸리시 데님미니SK,"36,000원 → 33,200원"
청순보타이 프릴낭낭 플라워롱ops,"48,000원 → 44,200원"
여리루즈 클래식버튼 니트CD,"41,000원 → 37,800원"
데일리라이트 박시체크JK,"98,000원 → 90,200원"
룩굿베이지 스트레이트pt,"37,000원 → 34,100원"
미니꽃펀칭 라운드후디,"67,000원 → 61,700원"
빈티지연청 완벽매치 미니SK,"26,000원 → 24,000원"
댄디블루톤 배색스티치NB,"44,000원 → 40,500원"
워시드핑크 탄탄일자롱팬츠,"34,000원 → 31,300원"
페미닌V결 쫀득골지슬림t,"41,000원 → 37,800원"
퀄굿데일리 캐주얼벨티트 야상jk,"88,000원 → 81,000원"
쿠튀르자수꽃 V리본백OPS,"120,000원 → 110,400원"
컴포터블굿텐션 바이크5부팬츠,"43,000원 → 39,600원"
컷아웃스트래피 골지쇼트니트,"39,000원 → 35,900원"
베스트패턴 하이핑크 페그톱PT,"70,000원"
트렌디크롭 클린코튼포켓JK,"53,000원"
우아퐁퐁 러플드롭 블라우스,"74,000원"
클린와이드 포켓코튼진 (+belt),"74,000원"
꼬임스트랩 포인티 니트ops,"94,000원"
티어드퍼프 무드텍스처BL,"43,000원"
심플이즈굿 엣지무드 미디자켓,"118,000원"
엣지드롭 주름턱 맥시슬랙스,"66,000원"
소프트여유핏 볼드파이톤SL,"56,000원"
커팅가르드 엣지골지탑,"42,000원"
내추럴딥V넥 그리너리맨투맨,"58,000원"
투웨이트렌스폼 맥시핀턱팬츠,"83,000원"
매니포켓코튼 셔츠핏박시JK,"65,000원"
소프트클린레더 쇼트집업자켓,"66,000원"
여리텐셀믹스 링버클포인트T,"40,000원"
프로핏셔널 ST롱코트 (+strap),"105,000원"
큐티숏 버튼포멀 미니스커트,"56,000원"
쫀쫀컬러텐션 해피데이T02월 15일부터 순차 배송가능!!,"31,000원"
세련미작렬 트임셔츠롱OPS(소라) 02월 15일부터 순차 배송가능!!,"46,000원"
데일리굿걸 청순실루엣ops,"48,000원"
페미닌물결넥 퍼프드롭니트,"54,000원"
젠틀수트핏 5부슬랙스,"34,000원"
데일리연데님 루즈앵클핏PT,"27,000원"
청순낭낭 여리라이트 루즈NB,"48,000원"
데일리쭉쭉 라인골지 가디건,"37,000원"
핀턱최고 연청워싱 복고데님pt,"53,000원"
시스루링클 라인드롭 레이스BL,"94,000원"
진주콕S후크 쉐입포인트E,"12,000원"
프리포멀핏 라이트박시자켓,"82,000원"
슬림포멀핏 맥시수트팬츠,"61,000원"
프리포멀핏 배기수트팬츠,"46,000원"
원톤레이디 츄잉레귤러t,"22,000원"
데일리루즈퀸 프리컬러 하프티02월 19일부터 순차 배송가능!!,"19,000원"
모던스트레이트 단추벨트자켓02월 15일부터 순차 배송가능!!,"87,000원"
꽃길자카드 셔링미니SK,"39,000원"
클래식칼라 무드PK가디건02월 19일부터 순차 배송가능!!,"44,000원"
대만족탄탄퀄 노버튼루즈핏CD02월 19일부터 순차 배송가능!!,"53,000원"
여리플레어캉 V스트랩롱ops,"71,000원"
블루밍볼드플라워 플리츠롱SK(베이지) 02월 15일부터 순차 배송가능!!,"41,000원"
매일잔꽃가득 여신프릴 여리블랑,"46,000원"
원뿔더플버튼 골지후드가디건02월 20일부터 순차 배송가능!!,"56,000원"
키치컬러체크 벨보텀앵클PT,"58,000원"
소프트빈티지 슬림워싱데님pt,"29,000원"
캔디체크 볼륨실루엣BL02월 19일부터 순차 배송가능!!,"41,000원"
빅숄더핏 낙낙포지션 심플jk(블랙) 02월 19일부터 순차 배송가능!!,"83,000원"
우아퍼프 고밀도 골지슬림T,"36,000원"
페탈레인 딥슬릿 언발롱SK,"37,000원"
비너스프린지 레이스가디건BL,"62,000원 → 57,100원"
유니크나염 타이다이 포켓롱T,"47,000원 → 43,300원"
코지원포켓 줄니트배색CD,"56,000원 → 51,600원"
미니꽃펀칭 라운드후디,"67,000원 → 61,700원"
투톤하프큐빅 C후프이어링,"16,000원 → 14,800원"
감각위트배색 미니크로스백,"34,000원"
메르시레이스 언발셔링블랑,"74,000원"
큐빅레일 퍼펙트후프E,"19,000원"
하트언더럽 로즈골드체인N,"19,000원"
꽃길자카드 셔링미니SK,"39,000원"
워터나염 타이다이 프릴OPS,"78,000원"
페이드진주컷 문라이닝E,"8,000원"
언발O링 슬림바드롭 이어링02월 26일부터 순차 배송가능!!,"8,000원"
클라이맥스배색 래글런원피스02월 21일부터 순차 배송가능!!,"43,000원"
버티컬펀칭 배색브이탑02월 28일부터 순차 배송가능!!,"69,000원"
봉봉2단프릴 퓨어워싱캉OPS,"56,000원"
쁘띠펀칭 핀턱소매배색NT,"86,000원"
심플크루넥 히트기모스판t,"23,000원"
